iter	Passed	Remaining
0	17	17362
1	26	13252
2	35	11696
3	43	10883
4	51	10284
5	60	9997
6	68	9752
7	77	9563
8	85	9414
9	94	9318
10	102	9194
11	111	9140
12	119	9099
13	129	9115
14	138	9090
15	147	9063
16	156	9038
17	165	9012
18	174	8988
19	183	9007
20	192	8994
21	202	8980
22	211	8973
23	221	9014
24	231	9021
25	240	9008
26	249	8998
27	259	8993
28	269	9010
29	278	9004
30	288	9003
31	297	8998
32	306	8990
33	315	8976
34	325	8980
35	335	8975
36	344	8963
37	353	8951
38	362	8940
39	371	8922
40	380	8904
41	389	8890
42	398	8877
43	408	8867
44	418	8872
45	427	8865
46	436	8846
47	445	8828
48	454	8820
49	463	8809
50	472	8799
51	481	8785
52	491	8784
53	500	8769
54	510	8773
55	520	8769
56	529	8767
57	539	8762
58	549	8759
59	558	8750
60	567	8736
61	576	8720
62	585	8704
63	593	8684
64	603	8676
65	612	8671
66	622	8671
67	633	8687
68	643	8677
69	652	8664
70	662	8664
71	671	8650
72	680	8643
73	689	8631
74	698	8617
75	708	8608
76	717	8594
77	726	8583
78	734	8565
79	743	8547
80	752	8535
81	761	8522
82	770	8512
83	779	8504
84	789	8494
85	798	8481
86	806	8467
87	815	8454
88	824	8442
89	834	8435
90	843	8424
91	852	8413
92	862	8413
93	872	8406
94	881	8394
95	890	8382
96	901	8390
97	910	8378
98	919	8368
99	928	8357
100	937	8347
101	946	8335
102	955	8320
103	964	8308
104	973	8295
105	981	8281
106	991	8271
107	1000	8260
108	1008	8244
109	1017	8232
110	1026	8224
111	1036	8216
112	1046	8215
113	1056	8210
114	1066	8205
115	1076	8200
116	1086	8196
117	1096	8192
118	1106	8189
119	1116	8185
120	1126	8181
121	1135	8168
122	1144	8162
123	1154	8154
124	1163	8141
125	1172	8133
126	1181	8124
127	1190	8113
128	1200	8104
129	1209	8092
130	1218	8085
131	1227	8073
132	1237	8064
133	1247	8060
134	1256	8051
135	1267	8051
136	1277	8049
137	1287	8041
138	1296	8032
139	1306	8023
140	1315	8014
141	1324	8003
142	1333	7991
143	1342	7981
144	1351	7970
145	1361	7961
146	1370	7952
147	1379	7941
148	1388	7929
149	1397	7916
150	1406	7906
151	1415	7895
152	1424	7884
153	1433	7873
154	1442	7863
155	1451	7851
156	1460	7840
157	1469	7833
158	1478	7821
159	1487	7811
160	1497	7804
161	1506	7792
162	1515	7781
163	1525	7776
164	1535	7771
165	1545	7762
166	1553	7751
167	1563	7742
168	1572	7731
169	1581	7722
170	1591	7715
171	1601	7708
172	1611	7702
173	1644	7804
174	1660	7829
175	1672	7831
176	1682	7824
177	1691	7812
178	1700	7797
179	1708	7782
180	1716	7765
181	1724	7750
182	1732	7734
183	1740	7720
184	1749	7707
185	1758	7695
186	1767	7682
187	1775	7670
188	1785	7659
189	1793	7646
190	1801	7632
191	1810	7619
192	1819	7606
193	1827	7593
194	1836	7582
195	1846	7573
196	1854	7560
197	1863	7549
198	1872	7537
199	1882	7529
200	1891	7520
201	1900	7508
202	1909	7497
203	1918	7485
204	1927	7473
205	1935	7461
206	1944	7450
207	1954	7440
208	1962	7427
209	1971	7416
210	1980	7405
211	1989	7393
212	1998	7382
213	2007	7375
214	2017	7364
215	2026	7354
216	2034	7342
217	2043	7331
218	2052	7320
219	2061	7310
220	2070	7298
221	2079	7288
222	2088	7277
223	2097	7267
224	2106	7255
225	2115	7243
226	2123	7232
227	2132	7220
228	2141	7209
229	2149	7196
230	2158	7187
231	2167	7175
232	2177	7166
233	2186	7158
234	2195	7148
235	2204	7137
236	2213	7126
237	2223	7118
238	2232	7107
239	2241	7096
240	2250	7086
241	2258	7075
242	2267	7065
243	2276	7053
244	2286	7045
245	2296	7037
246	2304	7026
247	2313	7015
248	2322	7005
249	2332	6996
250	2341	6985
251	2350	6976
252	2358	6964
253	2367	6954
254	2376	6943
255	2385	6932
256	2394	6922
257	2403	6911
258	2412	6902
259	2421	6893
260	2430	6883
261	2439	6871
262	2448	6861
263	2457	6850
264	2466	6840
265	2475	6829
266	2484	6820
267	2493	6810
268	2502	6800
269	2511	6790
270	2520	6780
271	2529	6770
272	2539	6761
273	2547	6750
274	2556	6740
275	2565	6729
276	2574	6720
277	2584	6711
278	2593	6702
279	2601	6690
280	2612	6684
281	2622	6678
282	2631	6668
283	2665	6720
284	2683	6732
285	2694	6727
286	2704	6718
287	2713	6708
288	2721	6696
289	2729	6682
290	2737	6670
291	2745	6657
292	2754	6645
293	2762	6633
294	2771	6622
295	2780	6612
296	2788	6600
297	2796	6588
298	2805	6578
299	2814	6566
300	2823	6556
301	2832	6545
